station,nM,Temp,Sal
St. 2-1,7.997,1.59,33.94
St. 2-2,9.243,1.58,33.97
St. 2-3,9.424,1.73,33.97
St. 2-4,8.879,1.81,33.96
St. 2-5,7.626,1.78,33.97
St. 2-6,7.121,1.82,33.98
St. 2-7,7.918,1.78,33.97
St. 2-8,9.504,2.64,32.72
St. 2-9,9.856,1.30,32.81
St. 2-10,7.587,1.77,33.97
St. 2-11,6.688,3.59,32.36
St. 2-12,15.930,1.99,33.84
St. 2-13,13.471,1.92,33.89
St. 2-14,10.192,1.70,33.97
St. 2-15,8.622,1.50,34.01
